rank,song,artist
1,ella no es tuya - remix,rochy rd
2,ingobernable,c. tangana
3,párteme la cara,c. tangana
4,bandido,myke towers
5,tú me dejaste de querer,c. tangana
6,antes,anuel aa
7,no te enamores - remix,milly
8,los tontos,c. tangana
9,911,sech
10,nominao,c. tangana
11,solo,omar montes
12,la noche de anoche,bad bunny
13,dákiti,bad bunny
14,demasiadas mujeres,c. tangana
15,baila conmigo (with rauw alejandro),selena gomez
16,hecha pa' mi,boza
17,cambia!,c. tangana
18,comerte entera,c. tangana
19,muriendo de envidia,c. tangana
20,nunca estoy,c. tangana
21,hong kong,c. tangana
22,te olvidaste,c. tangana
23,fiel,los legendarios
24,location,karol g
25,cuándo olvidaré,c. tangana
26,un veneno - g-mix,c. tangana
27,yo no sé,rvfv
28,a un paso de la luna,ana mena
29,polvo,nicky jam
30,la nota,manuel turizo
31,bichota,karol g
32,zorra - remix,bad gyal
33,vete pal carajo,yan block
34,mala costumbre,manuel turizo
35,vida de rico,camilo
36,bebé,camilo
37,explícito,myke towers
38,nena buena,anuel aa
39,bonita,jeeiph
40,delito,nathy peluso
41,bzrp music sessions vol. 36 bizarrap,nathy peluso
42,reloj,rauw alejandro
43,hasta abajo,kevin roldan
44,2/catorce,rauw alejandro
45,cuando sera,mora
46,hawái,maluma
47,chica ideal,sebastian yatra
48,drivers license,olivia rodrigo
49,tú,myke towers
50,del mar,ozuna
51,ropa cara,camilo
52,vacío,luis fonsi
53,blinding lights,the weeknd
54,despeinada,ozuna
55,512,mora
56,tattoo - remix with camilo,rauw alejandro
57,la curiosidad,jay wheeler
58,fan de tus fotos,nicky jam
59,qué le voy a hacer,skechi
60,relación - remix,sech
61,no me renta,ezvit 810
62,mi niña,wisin
63,blin blin,bad gyal
64,tussi,arcangel
65,una locura,ozuna
66,la tirita,belén aguilera
67,tusa,karol g
68,un dia (one day) (feat. tainy),j balvin
69,fake capo (remix),karetta el gucci
70,no toy en gente,nickzzy
71,la curiosidad,jay wheeler
72,problema,daddy yankee
73,fantasia sexual,brytiago
74,entre tú y yo,chema rivas
75,te mudaste,bad bunny
76,de cora <3,rauw alejandro
77,favorito,camilo
78,juramento eterno de sal,álvaro de luna
79,ponte pa' mi,justin quiles
80,eso que tú me das,jarabe de palo
81,save your tears,the weeknd
82,3g remix,wisin
83,caramelo,ozuna
84,telepatía,kali uchis
85,mood (feat. iann dior),24kgoldn
86,se iluminaba,fred de palma
87,normal que se lo crea (feat. keen levy),daviles de novelda
88,la luz,sech
89,the business,tiësto
90,te estás olvidando de mí,beret
91,entre sobras y sobras me faltas,antonio orozco
92,corazón sin vida,aitana
93,agua de jamaica,maluma
94,los dioses,anuel aa
95,en tu cuerpo - remix,lyanno
96,como estrellas,la young
97,watermelon sugar,harry styles
98,oh mama - premium,farruko
99,si tú la quieres,david bisbal
100,head & heart (feat. mnek),joel corry
